"ch"	"age"
"0000100"	"J"
"0000100"	"J"
"0000100"	"J"
"0000100"	"J"
"0000100"	"J"
"0000100"	"J"
"0000100"	"J"
"0000100"	"J"
"0000100"	"J"
"0000100"	"J"
"0000100"	"J"
"0000100"	"J"
"0000100"	"J"
"0000100"	"J"
"0000100"	"J"
"0000100"	"J"
"0000100"	"J"
"0000100"	"J"
"0000100"	"J"
"0000100"	"J"
"0000100"	"J"
"0000100"	"J"
"0000100"	"J"
"0000100"	"J"
"0000100"	"J"
"0000110"	"J"
"0000100"	"J"
"0000100"	"J"
"0000100"	"J"
"0000100"	"J"
"0000100"	"J"
"0000100"	"J"
"0000100"	"J"
"0000100"	"J"
"0000100"	"J"
"0000100"	"J"
"0000100"	"J"
"0000100"	"J"
"0000100"	"J"
"0000100"	"J"
"0000100"	"J"
"0000100"	"J"
"0000100"	"J"
"0000100"	"J"
"0000100"	"J"
"0000100"	"J"
"0000100"	"J"
"0000100"	"J"
"0000100"	"J"
"0000100"	"J"
"0000100"	"J"
"0000100"	"J"
"0000100"	"J"
"0000100"	"J"
"0000100"	"J"
"0000100"	"J"
"0000100"	"J"
"0000100"	"J"
"0000100"	"J"
"0000111"	"J"
"0000100"	"J"
"0000010"	"J"
"0000010"	"J"
"0000010"	"J"
"0000010"	"J"
"0000010"	"J"
"0000010"	"J"
"0000011"	"J"
"0000010"	"J"
"0000010"	"J"
"0000010"	"J"
"0000010"	"J"
"0000010"	"J"
"0000010"	"J"
"0000010"	"J"
"0000010"	"J"
"0000010"	"J"
"0000010"	"J"
"0000010"	"J"
"0000010"	"J"
"0000010"	"J"
"0000010"	"J"
"0000010"	"J"
"0000011"	"J"
"0000011"	"J"
"0000011"	"J"
"0000010"	"J"
"0000010"	"J"
"0000010"	"J"
"0000010"	"J"
"0000011"	"J"
"0000010"	"J"
"0000010"	"J"
"0000010"	"J"
"0000010"	"J"
"0000010"	"J"
"0000010"	"J"
"0000010"	"J"
"0000010"	"J"
"0000010"	"J"
"0000010"	"J"
"0000011"	"J"
"0000010"	"J"
"0000010"	"J"
"0000010"	"J"
"0000010"	"J"
"0000010"	"J"
"0000010"	"J"
"0000010"	"J"
"0000011"	"J"
"0000010"	"J"
"0000010"	"J"
"0000010"	"J"
"0000010"	"J"
"0000010"	"J"
"0000010"	"J"
"0100000"	"J"
"0100000"	"J"
"0100000"	"J"
"0100000"	"J"
"0100000"	"J"
"0100000"	"J"
"0100000"	"J"
"0100000"	"J"
"0100000"	"J"
"0100000"	"J"
"0100000"	"J"
"0100000"	"J"
"0100000"	"J"
"0100000"	"J"
"0100000"	"J"
"0100000"	"J"
"0100000"	"J"
"0100000"	"J"
"0100000"	"J"
"0100000"	"J"
"0100000"	"J"
"0100000"	"J"
"0100000"	"J"
"0100000"	"J"
"0100000"	"J"
"0100000"	"J"
"0100000"	"J"
"0100110"	"J"
"0100000"	"J"
"0100000"	"J"
"0100000"	"J"
"0100000"	"J"
"0100000"	"J"
"0100000"	"J"
"0100000"	"J"
"0100000"	"J"
"0100000"	"J"
"0100000"	"J"
"0100000"	"J"
"0100000"	"J"
"0100000"	"J"
"0100000"	"J"
"1110000"	"A"
"1100000"	"A"
"1110000"	"A"
"1000000"	"A"
"1100000"	"A"
"1100000"	"A"
"1010000"	"A"
"1000000"	"A"
"1000000"	"A"
"1111100"	"A"
"1100000"	"A"
"1100000"	"A"
"1100000"	"A"
"1000000"	"A"
"1000000"	"A"
"1100000"	"A"
"1100000"	"A"
"1000000"	"A"
"1000000"	"A"
"1000000"	"A"
"1110000"	"A"
"1100000"	"A"
"1000000"	"A"
"1110000"	"A"
"1000000"	"A"
"1110000"	"A"
"1000000"	"A"
"1100000"	"A"
"1000000"	"A"
"1000000"	"A"
"1100000"	"A"
"1000000"	"A"
"1000000"	"A"
"1100000"	"A"
"1000000"	"A"
"1000000"	"A"
"1011100"	"A"
"1111100"	"A"
"1000000"	"A"
"1110000"	"A"
"1000000"	"A"
"1111000"	"A"
"1110000"	"A"
"1100000"	"A"
"1001000"	"A"
"1010000"	"A"
"1110000"	"A"
"1101000"	"A"
"1000000"	"A"
"1111100"	"A"
"1100000"	"A"
"1111110"	"A"
"1111000"	"A"
"1000000"	"A"
"1111010"	"A"
"1100000"	"A"
"1000000"	"A"
"1000000"	"A"
"1000000"	"A"
"1000000"	"A"
"1110000"	"A"
"1111100"	"A"
"1000000"	"A"
"1111111"	"A"
"1000000"	"A"
"1001000"	"A"
"1110000"	"A"
"1111100"	"A"
"1110110"	"A"
"1110000"	"A"
"1000000"	"A"
"1100000"	"A"
"1111100"	"A"
"1001000"	"A"
"1000000"	"A"
"1000000"	"A"
"1000000"	"A"
"1100000"	"A"
"1100000"	"A"
"1111110"	"A"
"1000000"	"A"
"1000000"	"A"
"1111111"	"A"
"1000000"	"A"
"1010000"	"A"
"1111000"	"A"
"1100000"	"A"
"1100000"	"A"
"1100000"	"A"
"1100010"	"A"
"1011100"	"A"
"1010000"	"A"
"1011110"	"A"
"1111100"	"A"
"1100000"	"A"
"1111110"	"A"
"1111100"	"A"
"1100000"	"A"
"1000000"	"A"
"1100000"	"A"
"1000000"	"A"
"0111110"	"A"
"0100000"	"A"
"0100000"	"A"
"0100000"	"A"
"0111000"	"A"
"1000000"	"A"
"0111000"	"A"
"0111010"	"A"
"0100000"	"A"
"0100000"	"A"
"0100000"	"A"
"1111000"	"A"
"0111110"	"A"
"0111110"	"A"
"1111110"	"A"
"0100000"	"A"
"0100000"	"A"
"0111100"	"A"
"0111110"	"A"
"0100000"	"A"
"0100000"	"A"
"0100000"	"A"
"0110100"	"A"
"1100000"	"A"
"0111100"	"A"
"0100000"	"A"
"0111100"	"A"
"0111000"	"A"
"0110000"	"A"
"0100000"	"A"
"0100000"	"A"
"0111111"	"A"
"0111100"	"A"
"0100000"	"A"
"0111111"	"A"
