"ch"	"Year"	"Day_of_Season"
"1000100..10.0....0........."	"2011"	56
"1011010..01.1....1........."	"2011"	56
"1011.1.1.1....1............"	"2011"	59
"111.1.1.1....1............."	"2011"	60
"111.1.1.1....1............."	"2011"	60
"1100000000000.............."	"2006"	58
"1100000000000.............."	"2006"	58
"1100000000000.............."	"2006"	58
"00001000000.000............"	"2006"	55
"100000.000................."	"2006"	60
"10000000000................"	"2006"	60
"11100000000................"	"2006"	60
"11100000000................"	"2006"	60
"11100000000................"	"2006"	60
"10100000000................"	"2006"	60
"100000.000................."	"2006"	60
"10101000000................"	"2006"	60
"10100000000................"	"2006"	60
"101.000...................."	"2006"	63
"10000000..................."	"2006"	63
"101.000...................."	"2006"	63
"1100000...................."	"2006"	64
"1100000...................."	"2006"	64
"1101100...................."	"2006"	64
"1100000...................."	"2006"	64
"10100......................"	"2006"	66
"100........................"	"2006"	67
"100........................"	"2006"	67
"1010......................."	"2006"	67
"1010......................."	"2006"	67
"1010......................."	"2006"	67
"1010......................."	"2006"	67
"1010......................."	"2006"	67
"1000.10110.0101.010001.011."	"2011"	28
"1000.00000.0000.000000.000."	"2011"	28
"1000.10110.0101.010001.011."	"2011"	28
"11....1...1.1..1.1.1..11.1."	"2011"	30
"11....0...0.0..0.0.0..00.0."	"2011"	30
"01000.0000.000000.000.00.00"	"2011"	33
"01110.0101.000101.111.10.10"	"2011"	33
"01110.0101.000101.111.10.10"	"2011"	33
"100........................"	"2006"	67
"11..0.0.0.00..00000.00.0.0."	"2011"	41
"0..1.1.1.11..10010.10.0.0.0"	"2011"	42
"0.111.11.10010.0.1.1....1.."	"2011"	49
"1..10010.10.0.1.1....1....."	"2011"	52
"100........................"	"2006"	68
"1..10010.10.0.1.1....1....."	"2011"	52
"1..10010.10.0.1.1....1....."	"2011"	52
".01111101..10...1.1....1..."	"2011"	50
".01111101..10...1.1....1..."	"2011"	50
"1111101.010.0....0........."	"2011"	56
"1111.01.0.0.0....0........."	"2011"	56
"1000000..00.0....0........."	"2011"	56
"1111.01.0.0.0....0........."	"2011"	56
"10.10.0.1.1....1..........."	"2011"	58
"1111.11.0.1.1....1........."	"2011"	56
"100........................"	"2006"	68
"1111.01.0.0.0....0........."	"2011"	56
".11.0.1.0....0............."	"2011"	60
".11.0.1.0....0............."	"2011"	60
"...1.1....1................"	"2011"	63
"1...1......................"	"2012"	23
"100........................"	"2006"	68
".1010010..................."	"2012"	27
".1000000..................."	"2012"	27
"1.0111.0000..00............"	"2012"	28
"1.0111.0000..00............"	"2012"	28
"1.0111.0000..00............"	"2012"	28
"1.0011.0011..00............"	"2012"	28
"1.0011.0000..00............"	"2012"	28
"111110....................."	"2012"	29
"111111....................."	"2012"	29
"100........................"	"2006"	68
"111111....................."	"2012"	29
"0.0011.0010..00............"	"2012"	28
"10.1010..10................"	"2012"	32
"10.1010..11................"	"2012"	32
"110........................"	"2012"	32
"110........................"	"2012"	32
"10........................."	"2012"	33
"101........................"	"2006"	68
"01.1000..00................"	"2012"	32
"1110..00..................."	"2012"	35
"110..00...................."	"2012"	36
"110..00...................."	"2012"	36
"101........................"	"2006"	68
"1..11.1....1..............."	"2011"	62
"1..00.0....0..............."	"2011"	62
"10.0100.0000..00..........."	"2012"	27
"10.0100.0000..00..........."	"2012"	27
"1...1......0..............."	"2012"	31
"1...1......0..............."	"2012"	31
"1...0......0..............."	"2012"	31
