"FirstFound"	"LastPresent"	"LastChecked"	"Fate"	"Freq"	"NestAge"	"Year"	"std_time"
"111"	60	77	77	0	1	-52	"2006"	1.198331274
"112"	60	71	71	0	1	-46	"2006"	0.8978043
"113"	62	81	81	0	1	-56	"2006"	1.39868259
"114"	64	73	76	1	1	-54	"2006"	1.298506932
"115"	64	81	81	0	1	-56	"2006"	1.39868259
"116"	26	52	52	0	1	-22	"2006"	-0.10395228
"117"	64	76	76	0	1	-51	"2006"	1.148243445
"118"	28	50	53	1	1	-27	"2006"	-0.10395228
"119"	28	37	37	0	1	-12	"2006"	-0.905357544
"120"	33	61	61	0	1	-31	"2006"	0.39692601
"121"	35	51	51	0	1	-26	"2006"	-0.154040109
"122"	25	47	50	1	1	-20	"2006"	-0.454567083
"123"	45	65	68	1	1	-45	"2006"	0.847716471
"124"	58	64	68	1	1	-53	"2006"	1.248419103
"125"	17	37	37	0	1	-12	"2007"	-0.905357544
"126"	11	40	40	0	1	-11	"2007"	-0.755094057
"127"	11	13	15	1	1	-10	"2007"	-1.005533202
"128"	11	35	35	0	1	-10	"2007"	-1.005533202
"129"	12	43	43	0	1	-12	"2007"	-0.554742741
"130"	27	43	46	1	1	-25	"2007"	-0.003776622
"131"	29	31	33	1	1	-27	"2007"	-0.10395228
"132"	30	58	58	0	1	-29	"2007"	0.246662523
"133"	30	41	44	1	1	-29	"2007"	0.196574694
"134"	30	40	44	1	1	-22	"2007"	-0.354391425
"135"	31	45	49	1	1	-30	"2007"	0.046311207
"136"	34	50	53	1	1	-24	"2007"	-0.254215767
"137"	35	53	56	1	1	-34	"2007"	0.296750352
"138"	35	52	52	0	1	-27	"2007"	-0.10395228
"139"	36	62	62	0	1	-37	"2007"	0.39692601
"140"	36	46	49	1	1	-36	"2007"	0.346838181
"141"	36	59	59	0	1	-34	"2007"	0.296750352
"142"	37	42	45	1	1	-24	"2007"	-0.254215767
"143"	37	51	54	1	1	-32	"2007"	0.196574694
"144"	37	67	67	0	1	-32	"2007"	0.697452984
"145"	37	60	60	0	1	-35	"2007"	0.346838181
"146"	40	54	57	1	1	-35	"2007"	0.346838181
"147"	47	64	64	0	1	-39	"2007"	0.547189497
"148"	53	68	68	0	1	-43	"2007"	0.747540813
"149"	54	71	71	0	1	-46	"2007"	0.8978043
"150"	54	71	71	0	1	-46	"2007"	0.8978043
"151"	55	59	62	1	1	-43	"2007"	0.747540813
"152"	55	75	75	0	1	-50	"2007"	1.098155616
"153"	55	69	69	0	1	-44	"2007"	0.797628642
"154"	55	65	68	1	1	-53	"2007"	1.248419103
"155"	55	72	72	0	1	-47	"2007"	0.947892129
"156"	56	71	71	0	1	-46	"2007"	0.8978043
"157"	56	70	70	0	1	-45	"2007"	0.847716471
"158"	56	60	60	0	1	-35	"2007"	0.346838181
"159"	67	75	75	0	1	-50	"2007"	1.098155616
"160"	11	40	43	1	1	-10	"2007"	-0.755094057
"161"	19	23	26	1	1	-17	"2007"	-0.654918399
"162"	22	44	44	0	1	-18	"2007"	-0.554742741
"163"	22	44	44	0	1	-18	"2007"	-0.554742741
"164"	23	37	37	0	1	-12	"2007"	-0.905357544
"165"	23	33	36	1	1	-21	"2007"	-0.404479254
"166"	23	42	42	0	1	-17	"2007"	-0.654918399
"167"	23	48	48	0	1	-23	"2007"	-0.304303596
"168"	11	41	41	0	1	-10	"2007"	-0.705006228
"169"	66	68	68	0	1	-44	"2007"	0.797628642
"170"	18	44	44	0	1	-18	"2007"	-0.504654912
